"cases","event","completeTime"
"Offer_868206108","O_Created","2016/01/02 14:38:09.021"
"Offer_868206108","O_Sent (mail and online)","2016/01/02 14:41:36.550"
"Offer_868206108","O_Returned","2016/01/08 14:53:08.962"
"Offer_868206108","O_Accepted","2016/01/08 17:05:47.589"
"Offer_467024374","O_Create Offer","2016/01/02 14:38:19.507"
"Offer_467024374","O_Created","2016/01/02 14:38:20.745"
"Offer_467024374","O_Sent (mail and online)","2016/01/02 14:38:31.338"
"Offer_467024374","O_Returned","2016/01/08 10:21:27.927"
"Offer_467024374","O_Cancelled","2016/01/09 16:48:53.168"
"Offer_117620760","O_Create Offer","2016/01/02 14:59:59.998"
"Offer_117620760","O_Created","2016/01/02 15:00:01.362"
"Offer_117620760","O_Sent (mail and online)","2016/01/02 15:00:19.890"
"Offer_117620760","O_Returned","2016/01/08 11:09:09.540"
"Offer_117620760","O_Refused","2016/01/11 10:30:52.996"
"Offer_1183140970","O_Create Offer","2016/01/02 15:06:26.590"
"Offer_1183140970","O_Created","2016/01/02 15:06:27.942"
"Offer_1183140970","O_Sent (mail and online)","2016/01/02 15:06:42.773"
"Offer_1183140970","O_Returned","2016/01/18 09:56:45.841"
"Offer_1183140970","O_Accepted","2016/01/22 08:06:35.309"
"Offer_1534843733","O_Create Offer","2016/01/02 15:41:07.809"
"Offer_1534843733","O_Created","2016/01/02 15:41:09.180"
"Offer_1534843733","O_Sent (mail and online)","2016/01/02 15:44:54.594"
"Offer_1534843733","O_Returned","2016/01/11 11:07:25.792"
"Offer_1534843733","O_Accepted","2016/01/22 09:03:30.895"
"Offer_1750007091","O_Create Offer","2016/01/02 15:45:25.611"
"Offer_1750007091","O_Created","2016/01/02 15:45:26.830"
"Offer_1750007091","O_Sent (mail and online)","2016/01/02 15:46:43.295"
"Offer_106103074","O_Create Offer","2016/01/02 15:50:24.235"
"Offer_106103074","O_Created","2016/01/02 15:50:25.676"
"Offer_106103074","O_Cancelled","2016/01/02 15:51:15.041"
"Offer_243419316","O_Create Offer","2016/01/02 15:51:05.869"
"Offer_243419316","O_Created","2016/01/02 15:51:07.288"
"Offer_243419316","O_Sent (mail and online)","2016/01/02 15:51:25.546"
"Offer_243419316","O_Cancelled","2016/01/04 17:34:23.202"
"Offer_829153695","O_Create Offer","2016/01/02 16:06:15.693"
"Offer_829153695","O_Created","2016/01/02 16:06:17.078"
"Offer_829153695","O_Sent (mail and online)","2016/01/02 16:06:27.153"
"Offer_1047899891","O_Create Offer","2016/01/02 16:17:01.388"
"Offer_1047899891","O_Created","2016/01/02 16:17:02.653"
"Offer_1047899891","O_Sent (mail and online)","2016/01/02 16:19:18.037"
"Offer_1047899891","O_Returned","2016/01/11 10:20:06.946"
"Offer_1047899891","O_Cancelled","2016/01/14 15:17:09.978"
"Offer_833160233","O_Create Offer","2016/01/02 16:31:45.711"
"Offer_833160233","O_Created","2016/01/02 16:31:47.001"
"Offer_833160233","O_Sent (mail and online)","2016/01/02 16:34:40.607"
"Offer_833160233","O_Returned","2016/01/11 12:00:55.951"
"Offer_833160233","O_Accepted","2016/01/12 13:56:49.596"
"Offer_685676472","O_Create Offer","2016/01/02 16:33:53.848"
"Offer_685676472","O_Created","2016/01/02 16:33:55.123"
"Offer_685676472","O_Sent (mail and online)","2016/01/02 16:34:32.546"
"Offer_933028395","O_Create Offer","2016/01/02 16:34:17.443"
"Offer_933028395","O_Created","2016/01/02 16:34:18.823"
"Offer_933028395","O_Sent (mail and online)","2016/01/02 16:34:32.544"
"Offer_608733999","O_Create Offer","2016/01/02 16:40:18.270"
"Offer_608733999","O_Created","2016/01/02 16:40:19.582"
"Offer_608733999","O_Sent (mail and online)","2016/01/02 16:40:31.055"
"Offer_213718197","O_Create Offer","2016/01/02 16:41:10.746"
"Offer_213718197","O_Created","2016/01/02 16:41:12.040"
"Offer_213718197","O_Sent (mail and online)","2016/01/02 16:41:44.277"
"Offer_213718197","O_Returned","2016/01/08 11:43:56.982"
"Offer_213718197","O_Accepted","2016/01/11 17:04:09.561"
"Offer_108214080","O_Create Offer","2016/01/02 16:50:34.334"
"Offer_108214080","O_Created","2016/01/02 16:50:35.636"
"Offer_108214080","O_Sent (mail and online)","2016/01/02 16:50:48.565"
"Offer_1967986467","O_Create Offer","2016/01/02 16:52:19.034"
"Offer_1967986467","O_Created","2016/01/02 16:52:20.203"
"Offer_1967986467","O_Sent (mail and online)","2016/01/02 16:59:33.633"
"Offer_1685918507","O_Create Offer","2016/01/04 08:12:49.261"
"Offer_1685918507","O_Created","2016/01/04 08:12:50.665"
"Offer_1685918507","O_Sent (mail and online)","2016/01/04 08:13:05.939"
"Offer_1335997058","O_Create Offer","2016/01/04 09:10:26.673"
"Offer_1335997058","O_Created","2016/01/04 09:10:28.165"
"Offer_1335997058","O_Sent (mail and online)","2016/01/04 09:11:25.538"
"Offer_1335997058","O_Returned","2016/01/14 09:21:28.567"
"Offer_1335997058","O_Accepted","2016/01/14 15:38:04.267"
"Offer_1084399342","O_Create Offer","2016/01/04 09:16:31.991"
"Offer_1084399342","O_Created","2016/01/04 09:16:33.489"
"Offer_1084399342","O_Cancelled","2016/01/04 09:20:42.519"
"Offer_792838244","O_Create Offer","2016/01/04 09:17:42.243"
"Offer_792838244","O_Created","2016/01/04 09:17:43.758"
"Offer_792838244","O_Sent (mail and online)","2016/01/04 09:29:34.770"
"Offer_792838244","O_Cancelled","2016/01/08 10:59:40.730"
"Offer_603196958","O_Create Offer","2016/01/04 09:17:48.102"
"Offer_603196958","O_Created","2016/01/04 09:17:49.471"
"Offer_603196958","O_Sent (mail and online)","2016/01/04 09:18:10.830"
"Offer_603196958","O_Returned","2016/01/08 09:36:50.809"
"Offer_603196958","O_Refused","2016/01/11 10:39:35.166"
"Offer_866744603","O_Create Offer","2016/01/04 09:29:35.380"
"Offer_866744603","O_Created","2016/01/04 09:29:36.753"
"Offer_866744603","O_Sent (mail and online)","2016/01/04 09:30:54.167"
"Offer_866744603","O_Returned","2016/01/13 11:26:28.141"
"Offer_866744603","O_Accepted","2016/01/22 08:55:33.081"
"Offer_476537784","O_Create Offer","2016/01/04 09:30:35.161"
"Offer_476537784","O_Created","2016/01/04 09:30:36.359"
"Offer_476537784","O_Sent (mail and online)","2016/01/04 09:30:54.164"
"Offer_476537784","O_Cancelled","2016/01/22 08:55:33.101"
"Offer_1690361215","O_Create Offer","2016/01/04 09:34:17.654"
"Offer_1690361215","O_Created","2016/01/04 09:34:19.000"
"Offer_1690361215","O_Sent (mail and online)","2016/01/04 09:34:37.514"
"Offer_1690361215","O_Returned","2016/01/08 10:59:28.754"
"Offer_1690361215","O_Refused","2016/01/11 14:19:39.082"
"Offer_1346286187","O_Create Offer","2016/01/04 09:37:41.013"
"Offer_1346286187","O_Created","2016/01/04 09:37:42.329"
"Offer_1346286187","O_Sent (mail and online)","2016/01/04 09:37:55.282"
"Offer_1346286187","O_Returned","2016/01/08 14:26:13.914"
"Offer_1346286187","O_Accepted","2016/01/22 09:46:23.605"
"Offer_2134161297","O_Create Offer","2016/01/04 09:38:31.692"
"Offer_2134161297","O_Created","2016/01/04 09:38:33.015"
"Offer_2134161297","O_Sent (mail and online)","2016/01/04 09:39:04.205"
"Offer_2134161297","O_Returned","2016/01/25 13:44:11.695"
"Offer_2134161297","O_Refused","2016/01/26 13:12:52.803"
"Offer_2004924770","O_Create Offer","2016/01/04 09:42:28.010"
"Offer_2004924770","O_Created","2016/01/04 09:42:29.585"
"Offer_2004924770","O_Sent (mail and online)","2016/01/04 09:43:45.635"
"Offer_2100546231","O_Create Offer","2016/01/04 09:42:50.365"
"Offer_2100546231","O_Created","2016/01/04 09:42:51.707"
"Offer_2100546231","O_Sent (mail and online)","2016/01/04 09:43:45.620"
"Offer_1373030331","O_Create Offer","2016/01/04 09:49:22.376"
"Offer_1373030331","O_Created","2016/01/04 09:49:23.646"
"Offer_1373030331","O_Cancelled","2016/01/11 11:34:36.603"
"Offer_1562601661","O_Create Offer","2016/01/04 09:53:16.830"
"Offer_1562601661","O_Created","2016/01/04 09:53:18.030"
"Offer_1562601661","O_Sent (mail and online)","2016/01/04 09:55:52.384"
"Offer_1562601661","O_Cancelled","2016/01/07 14:32:04.371"
"Offer_1026878545","O_Create Offer","2016/01/04 09:53:33.302"
"Offer_1026878545","O_Created","2016/01/04 09:53:34.622"
"Offer_1026878545","O_Sent (mail and online)","2016/01/04 09:53:48.047"
"Offer_1026878545","O_Returned","2016/01/08 13:59:28.035"
"Offer_1026878545","O_Accepted","2016/01/11 11:34:36.587"
"Offer_1713418619","O_Create Offer","2016/01/04 09:58:16.573"
"Offer_1713418619","O_Created","2016/01/04 09:58:17.935"
"Offer_1713418619","O_Refused","2016/01/12 12:00:35.427"
"Offer_1658433857","O_Create Offer","2016/01/04 09:58:49.379"
"Offer_1658433857","O_Created","2016/01/04 09:58:50.717"
"Offer_1658433857","O_Sent (mail and online)","2016/01/04 10:02:17.272"
"Offer_207015621","O_Create Offer","2016/01/04 09:59:06.630"
"Offer_207015621","O_Created","2016/01/04 09:59:07.951"
"Offer_207015621","O_Sent (mail and online)","2016/01/04 09:59:52.439"
"Offer_207015621","O_Returned","2016/01/08 08:26:10.670"
"Offer_207015621","O_Refused","2016/01/12 12:00:35.418"
"Offer_829342969","O_Create Offer","2016/01/04 10:01:49.261"
"Offer_829342969","O_Created","2016/01/04 10:01:50.603"
"Offer_829342969","O_Sent (mail and online)","2016/01/04 10:02:07.149"
"Offer_829342969","O_Returned","2016/01/13 09:28:52.987"
"Offer_829342969","O_Accepted","2016/01/13 13:28:00.512"
"Offer_1383197782","O_Create Offer","2016/01/04 10:02:18.659"
"Offer_1383197782","O_Created","2016/01/04 10:02:19.903"
"Offer_1383197782","O_Sent (mail and online)","2016/01/04 10:07:00.627"
"Offer_1383197782","O_Returned","2016/01/14 12:10:46.608"
"Offer_1383197782","O_Accepted","2016/01/19 08:49:55.960"
"Offer_1562802810","O_Create Offer","2016/01/04 10:04:44.090"
"Offer_1562802810","O_Created","2016/01/04 10:04:45.315"
"Offer_1562802810","O_Sent (mail and online)","2016/01/04 10:05:30.428"
"Offer_1959589862","O_Create Offer","2016/01/04 10:06:59.909"
"Offer_1959589862","O_Created","2016/01/04 10:07:01.261"
"Offer_1959589862","O_Sent (mail and online)","2016/01/04 10:07:20.704"
"Offer_1959589862","O_Returned","2016/01/08 09:37:46.398"
"Offer_1959589862","O_Accepted","2016/01/27 14:48:32.037"
"Offer_1711038072","O_Create Offer","2016/01/04 10:10:15.387"
"Offer_1711038072","O_Created","2016/01/04 10:10:16.626"
"Offer_1711038072","O_Sent (mail and online)","2016/01/04 10:10:34.242"
"Offer_1711038072","O_Returned","2016/01/13 16:32:27.545"
"Offer_1711038072","O_Accepted","2016/01/22 08:51:20.551"
"Offer_1647711220","O_Create Offer","2016/01/04 10:17:58.657"
"Offer_1647711220","O_Created","2016/01/04 10:17:59.908"
"Offer_1647711220","O_Sent (mail and online)","2016/01/04 10:18:35.535"
"Offer_1647711220","O_Returned","2016/01/08 09:54:43.008"
"Offer_1647711220","O_Accepted","2016/01/11 11:35:23.639"
"Offer_1264698473","O_Create Offer","2016/01/04 10:24:12.128"
"Offer_1264698473","O_Created","2016/01/04 10:24:13.433"
"Offer_1264698473","O_Sent (mail and online)","2016/01/04 10:24:41.360"
"Offer_1264698473","O_Returned","2016/01/04 10:25:14.926"
"Offer_1525129982","O_Create Offer","2016/01/04 10:25:40.512"
"Offer_1525129982","O_Created","2016/01/04 10:25:41.799"
"Offer_1525129982","O_Sent (mail and online)","2016/01/04 10:25:52.775"
"Offer_1525129982","O_Returned","2016/01/15 12:56:17.379"
"Offer_1525129982","O_Accepted","2016/01/15 15:04:14.106"
"Offer_1747811596","O_Create Offer","2016/01/04 10:26:32.945"
"Offer_1747811596","O_Created","2016/01/04 10:26:34.262"
"Offer_1747811596","O_Sent (mail and online)","2016/01/04 10:30:25.659"
"Offer_1747811596","O_Returned","2016/01/11 09:46:52.570"
"Offer_1747811596","O_Accepted","2016/01/12 14:16:41.624"
"Offer_1078348600","O_Create Offer","2016/01/04 10:27:15.772"
"Offer_1078348600","O_Created","2016/01/04 10:27:17.030"
"Offer_1078348600","O_Sent (mail and online)","2016/01/04 10:27:38.360"
"Offer_1301660092","O_Create Offer","2016/01/04 10:27:32.591"
"Offer_1301660092","O_Created","2016/01/04 10:27:33.995"
"Offer_1301660092","O_Sent (online only)","2016/01/04 10:27:56.205"
"Offer_1301660092","O_Cancelled","2016/01/04 10:38:43.055"
"Offer_818647679","O_Create Offer","2016/01/04 10:33:40.864"
"Offer_818647679","O_Created","2016/01/04 10:33:43.362"
"Offer_818647679","O_Sent (mail and online)","2016/01/04 10:33:59.363"
"Offer_818647679","O_Returned","2016/01/08 13:38:24.556"
"Offer_818647679","O_Accepted","2016/01/12 11:55:29.363"
"Offer_30985588","O_Create Offer","2016/01/04 10:34:57.319"
"Offer_30985588","O_Created","2016/01/04 10:34:58.969"
"Offer_30985588","O_Sent (mail and online)","2016/01/04 10:35:12.005"
"Offer_30985588","O_Returned","2016/01/20 08:28:34.094"
"Offer_102669259","O_Create Offer","2016/01/04 10:37:24.634"
"Offer_102669259","O_Created","2016/01/04 10:37:26.166"
"Offer_102669259","O_Sent (mail and online)","2016/01/04 10:38:26.322"
"Offer_102669259","O_Returned","2016/01/08 09:28:24.788"
"Offer_102669259","O_Accepted","2016/01/11 15:58:57.023"
"Offer_684486794","O_Create Offer","2016/01/04 10:38:03.507"
"Offer_684486794","O_Created","2016/01/04 10:38:05.262"
"Offer_684486794","O_Sent (mail and online)","2016/01/04 10:38:24.028"
"Offer_684486794","O_Cancelled","2016/01/12 11:55:29.394"
"Offer_750441445","O_Create Offer","2016/01/04 10:38:40.094"
"Offer_750441445","O_Created","2016/01/04 10:38:41.945"
"Offer_750441445","O_Sent (mail and online)","2016/01/04 10:39:23.293"
"Offer_17122797","O_Create Offer","2016/01/04 10:51:03.301"
"Offer_17122797","O_Created","2016/01/04 10:51:04.375"
"Offer_17122797","O_Sent (mail and online)","2016/01/04 10:52:33.748"
"Offer_17122797","O_Cancelled","2016/01/12 11:20:22.065"
"Offer_240332268","O_Create Offer","2016/01/04 11:07:38.160"
"Offer_240332268","O_Created","2016/01/04 11:07:39.774"
"Offer_240332268","O_Sent (mail and online)","2016/01/04 11:15:24.159"
"Offer_240332268","O_Returned","2016/01/11 13:39:29.527"
"Offer_240332268","O_Accepted","2016/01/22 08:03:32.127"
"Offer_682031123","O_Create Offer","2016/01/04 11:08:49.265"
"Offer_682031123","O_Created","2016/01/04 11:08:50.577"
"Offer_682031123","O_Sent (mail and online)","2016/01/04 11:13:54.689"
"Offer_682031123","O_Returned","2016/01/13 10:50:13.954"
"Offer_682031123","O_Accepted","2016/01/15 12:58:18.773"
"Offer_1088813920","O_Create Offer","2016/01/04 11:23:29.925"
"Offer_1088813920","O_Created","2016/01/04 11:23:31.199"
"Offer_1088813920","O_Sent (mail and online)","2016/01/04 11:25:15.401"
"Offer_782570089","O_Create Offer","2016/01/04 11:36:41.701"
"Offer_782570089","O_Created","2016/01/04 11:36:43.478"
"Offer_782570089","O_Sent (mail and online)","2016/01/04 11:37:38.370"
"Offer_480986136","O_Create Offer","2016/01/04 11:54:33.864"
"Offer_480986136","O_Created","2016/01/04 11:54:35.143"
"Offer_480986136","O_Sent (mail and online)","2016/01/04 11:54:49.696"
"Offer_480986136","O_Cancelled","2016/01/15 15:54:49.368"
"Offer_864688635","O_Create Offer","2016/01/04 11:54:50.561"
"Offer_864688635","O_Created","2016/01/04 11:54:51.863"
"Offer_864688635","O_Sent (mail and online)","2016/01/04 11:58:03.305"
"Offer_1060307614","O_Create Offer","2016/01/04 12:13:27.921"
"Offer_1060307614","O_Created","2016/01/04 12:13:29.712"
"Offer_1060307614","O_Sent (mail and online)","2016/01/04 12:14:20.605"
"Offer_1060307614","O_Cancelled","2016/01/15 15:43:48.053"
"Offer_645753135","O_Create Offer","2016/01/04 12:15:38.857"
"Offer_645753135","O_Created","2016/01/04 12:15:40.585"
"Offer_645753135","O_Sent (mail and online)","2016/01/04 12:15:54.657"
"Offer_645753135","O_Cancelled","2016/01/14 13:40:03.190"
"Offer_329727374","O_Create Offer","2016/01/04 12:17:45.143"
"Offer_329727374","O_Created","2016/01/04 12:17:46.592"
"Offer_329727374","O_Sent (mail and online)","2016/01/04 12:22:16.114"
"Offer_329727374","O_Cancelled","2016/01/15 11:47:08.148"
"Offer_1124029698","O_Create Offer","2016/01/04 12:19:32.987"
"Offer_1124029698","O_Created","2016/01/04 12:19:34.427"
"Offer_1124029698","O_Sent (mail and online)","2016/01/04 12:19:48.218"
"Offer_1124029698","O_Cancelled","2016/01/15 09:31:04.469"
"Offer_942936446","O_Create Offer","2016/01/04 12:22:56.751"
"Offer_942936446","O_Created","2016/01/04 12:22:58.048"
"Offer_942936446","O_Sent (mail and online)","2016/01/04 12:23:28.409"
"Offer_1520154683","O_Create Offer","2016/01/04 12:25:45.275"
"Offer_1520154683","O_Created","2016/01/04 12:25:46.552"
"Offer_1520154683","O_Sent (mail and online)","2016/01/04 12:26:06.476"
"Offer_1520154683","O_Cancelled","2016/01/13 16:25:38.889"
"Offer_1944743744","O_Create Offer","2016/01/04 12:38:21.923"
"Offer_1944743744","O_Created","2016/01/04 12:38:23.327"
"Offer_1944743744","O_Sent (mail and online)","2016/01/04 12:43:24.182"
"Offer_1944743744","O_Cancelled","2016/01/13 16:30:46.976"
"Offer_2016468100","O_Create Offer","2016/01/04 12:43:41.530"
"Offer_2016468100","O_Created","2016/01/04 12:43:42.750"
"Offer_2016468100","O_Sent (mail and online)","2016/01/04 12:44:34.053"
"Offer_2016468100","O_Cancelled","2016/01/28 09:09:43.812"
"Offer_1583358802","O_Create Offer","2016/01/04 12:46:25.467"
"Offer_1583358802","O_Created","2016/01/04 12:46:26.799"
"Offer_1583358802","O_Sent (mail and online)","2016/01/04 12:47:22.920"
"Offer_1583358802","O_Cancelled","2016/01/18 14:49:58.251"
"Offer_1909754111","O_Create Offer","2016/01/04 12:50:02.908"
"Offer_1909754111","O_Created","2016/01/04 12:50:04.043"
"Offer_1909754111","O_Sent (mail and online)","2016/01/04 12:50:17.868"
"Offer_1909754111","O_Cancelled","2016/01/14 15:50:51.864"
"Offer_1769730855","O_Create Offer","2016/01/04 12:52:05.633"
"Offer_1769730855","O_Created","2016/01/04 12:52:06.815"
"Offer_1769730855","O_Sent (mail and online)","2016/01/04 12:52:39.139"
"Offer_1769730855","O_Cancelled","2016/01/07 13:02:39.182"
"Offer_1546586848","O_Create Offer","2016/01/04 12:57:23.240"
"Offer_1546586848","O_Created","2016/01/04 12:57:24.753"
"Offer_1546586848","O_Sent (mail and online)","2016/01/04 13:07:47.576"
"Offer_1257962808","O_Create Offer","2016/01/04 12:58:36.789"
"Offer_1257962808","O_Created","2016/01/04 12:58:37.924"
"Offer_1257962808","O_Sent (mail and online)","2016/01/04 12:59:32.067"
"Offer_1257962808","O_Cancelled","2016/01/30 10:57:53.651"
"Offer_427046646","O_Create Offer","2016/01/04 13:06:34.911"
"Offer_427046646","O_Created","2016/01/04 13:06:36.465"
"Offer_427046646","O_Sent (mail and online)","2016/01/04 13:06:50.227"
"Offer_625228043","O_Create Offer","2016/01/04 13:12:07.855"
"Offer_625228043","O_Created","2016/01/04 13:12:09.244"
"Offer_625228043","O_Sent (mail and online)","2016/01/04 13:15:00.777"
"Offer_625228043","O_Cancelled","2016/01/11 17:29:16.976"
"Offer_204685571","O_Create Offer","2016/01/04 13:17:25.403"
"Offer_204685571","O_Created","2016/01/04 13:17:26.780"
"Offer_204685571","O_Sent (mail and online)","2016/01/04 13:19:20.626"
"Offer_204685571","O_Returned","2016/01/08 10:11:00.133"
"Offer_204685571","O_Accepted","2016/01/11 16:11:37.791"
"Offer_960229906","O_Create Offer","2016/01/04 13:31:21.085"
"Offer_960229906","O_Created","2016/01/04 13:31:22.267"
"Offer_960229906","O_Sent (mail and online)","2016/01/04 13:34:12.011"
"Offer_1284560550","O_Create Offer","2016/01/04 13:32:20.958"
"Offer_1284560550","O_Created","2016/01/04 13:32:22.246"
"Offer_1284560550","O_Sent (mail and online)","2016/01/04 13:34:11.971"
"Offer_1569511625","O_Create Offer","2016/01/04 13:38:40.269"
"Offer_1569511625","O_Created","2016/01/04 13:38:41.423"
"Offer_1569511625","O_Sent (mail and online)","2016/01/04 13:41:03.621"
"Offer_1569511625","O_Refused","2016/01/14 16:16:16.671"
"Offer_1935259954","O_Create Offer","2016/01/04 13:45:44.487"
"Offer_1935259954","O_Created","2016/01/04 13:45:46.184"
"Offer_1935259954","O_Sent (mail and online)","2016/01/04 13:46:48.384"
"Offer_1935259954","O_Returned","2016/01/08 10:28:48.574"
"Offer_1935259954","O_Accepted","2016/01/22 09:17:51.481"
"Offer_416560951","O_Create Offer","2016/01/04 13:51:08.869"
"Offer_416560951","O_Created","2016/01/04 13:51:10.207"
"Offer_416560951","O_Sent (mail and online)","2016/01/04 13:51:20.651"
"Offer_416560951","O_Returned","2016/01/08 10:25:53.737"
"Offer_416560951","O_Accepted","2016/01/08 16:50:24.793"
"Offer_648594737","O_Create Offer","2016/01/04 13:53:19.614"
"Offer_648594737","O_Created","2016/01/04 13:53:20.807"
"Offer_648594737","O_Sent (mail and online)","2016/01/04 13:54:20.160"
"Offer_648594737","O_Returned","2016/01/11 10:17:44.140"
"Offer_648594737","O_Accepted","2016/01/22 09:07:07.253"
"Offer_863002977","O_Create Offer","2016/01/04 14:18:04.303"
"Offer_863002977","O_Created","2016/01/04 14:18:05.728"
"Offer_863002977","O_Sent (mail and online)","2016/01/04 14:18:42.174"
"Offer_863002977","O_Returned","2016/01/13 15:28:02.566"
"Offer_863002977","O_Accepted","2016/01/14 15:43:43.709"
"Offer_739070387","O_Create Offer","2016/01/04 14:24:56.426"
"Offer_739070387","O_Created","2016/01/04 14:24:57.641"
"Offer_739070387","O_Sent (mail and online)","2016/01/04 14:25:15.670"
"Offer_739070387","O_Returned","2016/01/15 11:46:00.502"
"Offer_739070387","O_Refused","2016/01/19 10:00:18.263"
"Offer_1185562763","O_Create Offer","2016/01/04 14:30:16.884"
"Offer_1185562763","O_Created","2016/01/04 14:30:18.093"
"Offer_1185562763","O_Sent (online only)","2016/01/04 14:30:30.130"
"Offer_1185562763","O_Cancelled","2016/01/15 15:54:49.359"
"Offer_860450899","O_Create Offer","2016/01/04 14:45:30.619"
"Offer_860450899","O_Created","2016/01/04 14:45:31.908"
"Offer_860450899","O_Sent (mail and online)","2016/01/04 14:45:53.656"
"Offer_860450899","O_Cancelled","2016/01/13 15:24:57.844"
"Offer_659905372","O_Create Offer","2016/01/04 14:47:04.042"
"Offer_659905372","O_Created","2016/01/04 14:47:05.251"
"Offer_659905372","O_Sent (mail and online)","2016/01/04 14:50:00.500"
"Offer_659905372","O_Returned","2016/01/20 09:11:28.554"
"Offer_659905372","O_Accepted","2016/01/22 09:12:30.209"
"Offer_213731049","O_Create Offer","2016/01/04 14:54:03.730"
"Offer_213731049","O_Created","2016/01/04 14:54:05.163"
"Offer_213731049","O_Sent (mail and online)","2016/01/04 14:54:34.236"
"Offer_1462702200","O_Create Offer","2016/01/04 14:54:28.730"
"Offer_1462702200","O_Created","2016/01/04 14:54:30.299"
"Offer_1462702200","O_Sent (mail and online)","2016/01/04 14:55:11.659"
"Offer_2006568778","O_Create Offer","2016/01/04 15:01:47.958"
"Offer_2006568778","O_Created","2016/01/04 15:01:49.290"
"Offer_2006568778","O_Sent (mail and online)","2016/01/04 15:04:16.079"
"Offer_2006568778","O_Returned","2016/01/14 10:40:14.527"
